City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
bluff,100,NZ,1636845543,88,-46.6,168.3333,50.4,9.31
mgandu,65,TZ,1636845543,51,-5.95,34.1333,68.45,9.51
hofn,100,IS,1636845544,97,64.2539,-15.2082,48.24,28.61
mahebourg,40,MU,1636845544,83,-20.4081,57.7,75.49,9.22
mataura,100,NZ,1636845544,99,-46.1927,168.8643,48.97,1.57
vaini,75,TO,1636845545,78,-21.2,-175.2,80.76,12.66
butaritari,36,KI,1636845545,75,3.0707,172.7902,82.11,15.3
punta arenas,74,PH,1636845546,87,8.9897,125.34,78.31,3.62
norman wells,1,US,1636845364,36,35.2226,-97.4395,60.69,10.36
narsaq,1,GL,1636845546,81,60.9167,-46.05,16.02,3.04
sao filipe,83,IN,1636845547,69,20.5113,76.2129,70.12,4.5
barrow,90,US,1636845547,73,71.2906,-156.7887,15.82,13.8
ushuaia,75,AR,1636845548,33,-54.8,-68.3,56.86,12.66
busselton,43,AU,1636845548,63,-33.65,115.3333,57.04,17.94
bredasdorp,60,ZA,1636845548,89,-34.5322,20.0403,54.28,1.97
tuktoyaktuk,90,CA,1636845549,73,69.4541,-133.0374,19.4,13.8
vardo,100,NO,1636845549,62,70.3705,31.1107,32.99,21.74
axim,20,GH,1636845549,86,4.8699,-2.2405,78.17,6.44
genhe,42,CN,1636845550,88,50.7833,121.5167,16.14,1.7
kapaa,75,US,1636845550,74,22.0752,-159.319,83.12,5.99
arnia,0,IN,1636845551,37,32.5167,74.8,56.79,3.33
baruun-urt,26,MN,1636845551,77,46.6806,113.2792,23.25,5.06
cockburn town,24,AU,1636845551,46,-32.0833,141.0,57.51,19.53
eyl,62,SO,1636845552,75,7.9803,49.8164,77.4,11.88
usinsk,84,RU,1636845552,92,65.9939,57.5281,10.74,8.5
hilo,90,US,1636845553,92,19.7297,-155.09,80.8,6.91
rikitea,50,PF,1636845427,73,-23.1203,-134.9692,73.42,12.68
cabo san lucas,15,BR,1636845553,75,-8.2833,-35.0333,82.33,8.7
puerto colombia,0,ES,1636845553,70,36.5939,-6.233,57.25,5.75
jamestown,90,US,1636845554,96,42.097,-79.2353,38.52,11.01
seddon,90,AU,1636845554,61,-37.8068,144.8916,58.6,7.0
qaanaaq,0,GL,1636845555,54,77.484,-69.3632,-8.82,8.46
lazaro cardenas,59,DO,1636845555,78,19.4558,-71.3261,76.01,2.46
kasongo-lunda,100,CD,1636845556,98,-6.4667,16.8167,68.79,2.59
hobyo,88,SO,1636845556,71,5.3505,48.5268,79.92,11.43
puerto ayacucho,0,ES,1636845374,70,36.5939,-6.233,57.25,5.75
kulhudhuffushi,93,MV,1636845557,80,6.6221,73.07,81.66,25.48
cherskiy,100,RU,1636845557,96,68.75,161.3,17.35,4.68
griffith,90,US,1636845557,71,41.5284,-87.4237,38.05,1.01
puerto ayora,0,ES,1636845558,70,36.5939,-6.233,57.25,5.75
haines junction,90,US,1636845558,81,59.2286,-135.4441,40.68,9.22
codrington,79,AU,1636845558,79,-38.2667,141.9667,51.53,22.28
san cristobal,16,ML,1636845559,20,13.3034,-4.8956,80.92,8.79
upata,76,VE,1636845559,89,8.0086,-62.3989,79.2,4.43
goderich,100,CA,1636845559,70,43.7501,-81.7165,43.92,20.71
harper,67,LR,1636845560,86,4.375,-7.7169,76.96,1.32
