City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
georgetown,20,MY,1636931432,93,5.4112,100.3354,78.89,0.0
zhigansk,61,RU,1636931432,99,66.7697,123.3711,-25.29,7.0
hobart,75,AU,1636931385,60,-42.8794,147.3294,51.03,4.0
westport,20,US,1636931432,65,41.1415,-73.3579,48.79,1.01
saint-philippe,54,RE,1636931433,80,-21.3585,55.7679,74.79,13.15
mar del plata,75,ES,1636931433,86,43.4002,-4.0094,57.02,3.0
talnakh,89,RU,1636931433,99,69.4865,88.3972,-12.01,3.2
mahebourg,75,MU,1636931434,83,-20.4081,57.7,76.24,5.75
cidreira,100,BR,1636931434,83,-30.1811,-50.2056,68.56,19.13
olafsvik,95,IS,1636931434,68,64.8945,-23.7142,38.23,40.09
albany,95,US,1636931435,70,42.6001,-73.9662,43.75,4.85
ixtapa,40,MX,1636931435,66,20.7,-105.2,85.23,9.22
hilo,40,US,1636931229,81,19.7297,-155.09,82.8,11.5
ushuaia,100,AR,1636931436,99,-54.8,-68.3,40.35,8.5
dikson,100,RU,1636931436,100,73.5069,80.5464,-10.73,7.7
kapaa,75,US,1636931436,71,22.0752,-159.319,80.92,1.99
hermanus,100,ZA,1636931436,75,-34.4187,19.2345,63.9,4.05
torbay,86,CA,1636931437,88,47.6666,-52.7314,50.27,8.01
sinnamary,87,GF,1636931437,83,5.3833,-52.95,79.05,9.71
upernavik,9,GL,1636931437,73,72.7868,-56.1549,0.64,6.76
sisimiut,100,GL,1636931438,70,66.9395,-53.6735,18.75,8.86
jamestown,90,US,1636931304,99,42.097,-79.2353,34.09,5.01
geraldton,90,AU,1636931438,88,-28.7667,114.6,61.21,4.61
tiksi,65,RU,1636931438,98,71.6872,128.8694,-14.62,6.78
garowe,27,SO,1636931439,84,8.4054,48.4845,70.09,7.14
hobyo,59,SO,1636931439,75,5.3505,48.5268,79.29,8.19
busselton,31,AU,1636931439,63,-33.65,115.3333,61.05,11.97
yumen,0,CN,1636931440,32,40.2833,97.2,30.2,5.88
barrow,90,US,1636931440,78,71.2906,-156.7887,8.62,17.27
lanzhou,0,CN,1636931440,36,36.0564,103.7922,36.75,1.95
tuktoyaktuk,75,CA,1636931441,92,69.4541,-133.0374,5.0,10.36
kungurtug,94,RU,1636931441,88,50.5994,97.5228,13.17,2.21
hoi an,100,ID,1636931441,78,-9.8262,124.4269,72.91,1.28
pavlovsk,100,RU,1636931442,78,50.4578,40.1081,34.03,4.74
saint-pierre,0,RE,1636931442,69,-21.3393,55.4781,74.88,5.75
port alfred,83,CD,1636931442,66,-7.0349,29.7638,74.89,7.83
vaini,20,TO,1636931443,78,-21.2,-175.2,78.96,12.66
cajazeiras,36,BR,1636931421,34,-6.8903,-38.5553,87.21,1.57
yellowknife,75,CA,1636931360,100,62.456,-114.3525,18.41,6.91
buala,80,SB,1636931443,71,-8.145,159.5921,85.23,8.19
new norfolk,82,LR,1636931444,96,6.6518,-10.5932,76.23,0.25
arraial do cabo,100,BR,1636931444,78,-22.8362,-46.646,67.41,11.25
san pedro,91,ML,1636931444,20,13.3034,-4.8956,82.11,8.43
puerto ayora,0,ES,1636931445,84,36.5939,-6.233,62.26,8.05
grand river south east,51,US,1636931175,38,38.8755,-109.5012,58.82,0.38
constitucion,96,CL,1636931445,76,-35.3333,-72.4167,56.37,15.17
toamasina,80,MG,1636931445,86,-18.1667,49.3833,72.95,4.56
lompoc,1,US,1636931446,37,34.6391,-120.4579,88.09,6.91
kruisfontein,100,ZA,1636931446,86,-34.0033,24.7314,56.88,3.36
cape town,87,CL,1636931446,42,-36.413,-71.9028,63.82,11.12
acapulco,1,MX,1636931447,58,16.8634,-99.8901,84.02,4.61
ust-kuyga,100,RU,1636931447,100,70.0167,135.6,-24.12,3.65
